transaction_id,timestamp,user_id,user_role,transaction_type,electricity_quantity,price_per_mwh,total_cost,latency_ms,security_level,encryption_method,zt_authentication,network_slice_id,transaction_status
TXN2290,2025-02-14 10:05:50,U8962,Dealer,Buy,21.56,34.75,749.21,22,High,TDKE,1,Slice_B,Failed
TXN7932,2025-02-14 10:14:27,U9835,Authority,N/A,0.0,0.0,0.0,27,High,TDKE,1,Slice_C,Pending
TXN7537,2025-02-14 10:45:51,U7118,Supplier,Sell,20.89,32.25,673.7,15,High,TDKE,1,Slice_C,Failed
TXN4770,2025-02-14 10:40:10,U4608,Dealer,Buy,73.71,30.59,2254.79,7,High,TDKE,1,Slice_B,Success
TXN9423,2025-02-14 10:16:14,U5562,Authority,N/A,0.0,0.0,0.0,20,High,TDKE,1,Slice_C,Success
TXN8744,2025-02-14 10:16:35,U8749,Supplier,Buy,18.49,36.59,676.55,16,Medium,RSA,1,Slice_B,Failed
TXN1887,2025-02-14 10:45:58,U2612,Dealer,Sell,75.54,38.01,2871.28,8,High,TDKE,1,Slice_A,Success
TXN9786,2025-02-14 10:30:37,U3296,Supplier,Buy,35.07,32.5,1139.78,7,Medium,AES,1,Slice_A,Failed
TXN9856,2025-02-14 10:57:04,U1241,Dealer,Buy,24.97,34.86,870.45,11,Medium,AES,1,Slice_A,Pending
TXN1035,2025-02-14 10:26:39,U5345,Supplier,Sell,48.07,39.57,1902.13,30,Low,RSA,0,Slice_A,Success
TXN5861,2025-02-14 10:14:51,U1958,Authority,N/A,0.0,0.0,0.0,28,Low,AES,0,Slice_C,Pending
TXN1936,2025-02-14 10:03:25,U8811,Authority,N/A,0.0,0.0,0.0,21,High,TDKE,1,Slice_A,Failed
TXN2312,2025-02-14 10:58:07,U4044,Dealer,Buy,70.77,32.35,2289.41,8,Low,AES,0,Slice_C,Failed
TXN1651,2025-02-14 10:42:16,U2343,Supplier,Sell,94.12,32.04,3015.6,27,Medium,AES,1,Slice_B,Pending
TXN3144,2025-02-14 10:45:51,U5915,Supplier,Sell,93.61,39.36,3684.49,5,Medium,AES,1,Slice_A,Failed
TXN4492,2025-02-14 10:34:32,U5345,Dealer,Sell,89.28,38.79,3463.17,16,Medium,AES,1,Slice_B,Failed
TXN5956,2025-02-14 10:41:45,U9666,Dealer,Sell,93.86,31.04,2913.41,9,Medium,AES,1,Slice_A,Failed
TXN3546,2025-02-14 10:18:35,U5616,Authority,N/A,0.0,0.0,0.0,11,Low,RSA,0,Slice_A,Failed
TXN5325,2025-02-14 10:34:30,U9004,Supplier,Buy,18.31,34.24,626.93,13,High,TDKE,1,Slice_A,Pending
TXN3143,2025-02-14 10:43:29,U5291,Dealer,Sell,59.65,34.28,2044.8,5,High,TDKE,1,Slice_A,Failed
TXN3442,2025-02-14 10:37:14,U1590,Supplier,Buy,48.68,30.42,1480.85,16,High,TDKE,1,Slice_B,Success
TXN5088,2025-02-14 10:45:31,U2684,Supplier,Sell,97.65,37.49,3660.9,12,High,TDKE,1,Slice_A,Pending
TXN1406,2025-02-14 10:12:14,U6442,Supplier,Buy,34.01,37.87,1287.96,8,Medium,AES,1,Slice_B,Success
TXN4269,2025-02-14 10:55:44,U8541,Supplier,Sell,83.85,38.71,3245.83,12,High,TDKE,1,Slice_C,Success
TXN7528,2025-02-14 10:22:24,U5564,Dealer,Sell,41.6,35.09,1459.74,26,Low,RSA,0,Slice_A,Success
TXN5279,2025-02-14 10:12:11,U5349,Dealer,Buy,63.69,33.46,2131.07,30,Medium,RSA,1,Slice_C,Failed
TXN2894,2025-02-14 10:26:17,U4114,Supplier,Buy,73.79,30.02,2215.18,30,Low,AES,0,Slice_B,Pending
TXN2146,2025-02-14 10:45:20,U6409,Authority,N/A,0.0,0.0,0.0,15,Low,AES,0,Slice_C,Pending
TXN9308,2025-02-14 10:21:06,U7691,Supplier,Sell,72.75,35.54,2585.53,11,Medium,RSA,1,Slice_C,Failed
TXN3851,2025-02-14 10:42:01,U5930,Supplier,Buy,37.35,32.1,1198.94,30,Low,RSA,0,Slice_B,Pending
TXN8244,2025-02-14 10:46:07,U4501,Authority,N/A,0.0,0.0,0.0,20,Low,AES,0,Slice_C,Success
TXN5649,2025-02-14 10:35:11,U6491,Dealer,Buy,70.55,32.25,2275.24,11,High,TDKE,1,Slice_A,Success
TXN5011,2025-02-14 10:32:26,U2193,Supplier,Sell,89.75,35.76,3209.46,27,Low,RSA,0,Slice_B,Pending
TXN4997,2025-02-14 10:10:04,U1090,Dealer,Sell,29.7,38.04,1129.79,27,Low,RSA,0,Slice_A,Failed
TXN5082,2025-02-14 10:57:54,U2988,Supplier,Buy,82.13,36.68,3012.53,22,Low,RSA,0,Slice_B,Failed
TXN9270,2025-02-14 10:29:07,U9976,Supplier,Buy,76.93,34.75,2673.32,13,High,TDKE,1,Slice_C,Pending
TXN9540,2025-02-14 10:33:04,U4919,Supplier,Sell,16.97,32.86,557.63,13,Medium,RSA,1,Slice_C,Success
TXN3267,2025-02-14 10:10:17,U4788,Supplier,Buy,73.58,30.64,2254.49,18,Medium,RSA,1,Slice_B,Success
TXN4388,2025-02-14 10:56:51,U7883,Supplier,Buy,87.11,37.66,3280.56,17,Medium,AES,1,Slice_B,Pending
TXN7389,2025-02-14 10:58:15,U7865,Authority,N/A,0.0,0.0,0.0,28,Low,AES,0,Slice_B,Success
TXN5471,2025-02-14 10:29:45,U8956,Dealer,Sell,40.25,36.79,1480.8,17,Low,AES,0,Slice_B,Success
TXN9751,2025-02-14 10:01:50,U7455,Authority,N/A,0.0,0.0,0.0,23,Low,AES,0,Slice_A,Failed
TXN8022,2025-02-14 10:09:15,U8564,Dealer,Buy,33.41,33.27,1111.55,19,Medium,RSA,1,Slice_B,Pending
TXN7906,2025-02-14 10:17:13,U2341,Supplier,Buy,77.41,30.52,2362.55,16,High,TDKE,1,Slice_C,Success
TXN1659,2025-02-14 10:51:29,U1508,Dealer,Buy,85.53,36.21,3097.04,12,High,TDKE,1,Slice_B,Failed
TXN2874,2025-02-14 10:38:30,U4571,Supplier,Sell,79.02,31.68,2503.35,24,Low,AES,0,Slice_A,Pending
TXN2771,2025-02-14 10:39:30,U1420,Supplier,Sell,45.7,37.15,1697.76,7,Low,AES,0,Slice_A,Failed
TXN5941,2025-02-14 10:58:02,U2983,Authority,N/A,0.0,0.0,0.0,30,High,TDKE,1,Slice_B,Failed
TXN8018,2025-02-14 10:45:09,U7071,Dealer,Sell,11.14,34.2,380.99,20,High,TDKE,1,Slice_B,Pending
TXN8532,2025-02-14 10:48:17,U3506,Supplier,Buy,76.04,39.65,3014.99,13,Low,RSA,0,Slice_B,Pending
TXN5397,2025-02-14 10:22:00,U5022,Dealer,Sell,89.35,32.44,2898.51,19,Low,RSA,0,Slice_B,Success
TXN9098,2025-02-14 10:58:05,U6325,Dealer,Sell,29.09,37.98,1104.84,15,Medium,RSA,1,Slice_C,Success
TXN9464,2025-02-14 10:13:02,U2402,Dealer,Sell,53.97,37.58,2028.19,27,Medium,RSA,1,Slice_B,Success
TXN2524,2025-02-14 10:20:05,U4630,Supplier,Buy,37.56,35.82,1345.4,20,Low,RSA,0,Slice_B,Failed
TXN6419,2025-02-14 10:24:01,U8434,Supplier,Sell,32.63,31.21,1018.38,11,Medium,AES,1,Slice_C,Failed
TXN4033,2025-02-14 10:13:04,U4545,Authority,N/A,0.0,0.0,0.0,20,Medium,RSA,1,Slice_A,Success
TXN5853,2025-02-14 10:15:31,U6912,Dealer,Sell,11.27,35.34,398.28,13,High,TDKE,1,Slice_A,Failed
TXN5786,2025-02-14 10:47:36,U3068,Authority,N/A,0.0,0.0,0.0,29,Medium,AES,1,Slice_A,Failed
TXN5658,2025-02-14 10:32:02,U8843,Supplier,Sell,26.59,30.51,811.26,20,High,TDKE,1,Slice_A,Pending
TXN9056,2025-02-14 10:05:03,U1878,Dealer,Buy,83.0,39.49,3277.67,7,High,TDKE,1,Slice_A,Failed
TXN7818,2025-02-14 10:41:23,U4697,Authority,N/A,0.0,0.0,0.0,17,Medium,RSA,1,Slice_B,Failed
TXN8025,2025-02-14 10:20:50,U1986,Authority,N/A,0.0,0.0,0.0,28,High,TDKE,1,Slice_A,Failed
TXN4457,2025-02-14 10:18:03,U2330,Dealer,Buy,25.64,30.75,788.43,5,Medium,RSA,1,Slice_C,Failed
TXN8699,2025-02-14 10:19:52,U1534,Dealer,Sell,73.63,37.03,2726.52,19,High,TDKE,1,Slice_C,Success
TXN5334,2025-02-14 10:53:46,U4241,Supplier,Buy,59.01,36.48,2152.68,13,High,TDKE,1,Slice_A,Success
TXN3718,2025-02-14 10:54:06,U6039,Authority,N/A,0.0,0.0,0.0,28,Low,RSA,0,Slice_B,Success
TXN8679,2025-02-14 10:47:00,U5982,Authority,N/A,0.0,0.0,0.0,17,Medium,RSA,1,Slice_B,Success
TXN1653,2025-02-14 10:29:29,U6280,Authority,N/A,0.0,0.0,0.0,13,High,TDKE,1,Slice_A,Success
TXN1339,2025-02-14 10:52:12,U5415,Authority,N/A,0.0,0.0,0.0,6,High,TDKE,1,Slice_B,Failed
TXN8245,2025-02-14 10:18:59,U3973,Authority,N/A,0.0,0.0,0.0,18,Low,RSA,0,Slice_A,Pending
TXN6700,2025-02-14 10:27:52,U6460,Supplier,Buy,87.2,33.3,2903.76,27,Medium,RSA,1,Slice_C,Pending
TXN1601,2025-02-14 10:31:02,U2442,Supplier,Sell,39.09,39.7,1551.87,17,Low,AES,0,Slice_C,Failed
TXN8569,2025-02-14 10:28:12,U1888,Dealer,Sell,66.04,34.98,2310.08,19,High,TDKE,1,Slice_A,Pending
TXN9998,2025-02-14 10:08:56,U5719,Supplier,Sell,20.93,39.73,831.55,24,High,TDKE,1,Slice_C,Success
TXN6091,2025-02-14 10:37:36,U1224,Authority,N/A,0.0,0.0,0.0,18,High,TDKE,1,Slice_A,Success
TXN8560,2025-02-14 10:08:01,U3522,Supplier,Sell,55.8,32.73,1826.33,20,Medium,AES,1,Slice_B,Failed
TXN3369,2025-02-14 10:26:11,U4122,Authority,N/A,0.0,0.0,0.0,21,Low,AES,0,Slice_A,Pending
TXN7798,2025-02-14 10:23:12,U9318,Supplier,Buy,35.46,32.99,1169.83,23,Low,RSA,0,Slice_A,Pending
TXN9824,2025-02-14 10:33:03,U6654,Supplier,Sell,50.98,33.22,1693.56,11,Low,AES,0,Slice_C,Pending
TXN4826,2025-02-14 10:58:26,U7730,Dealer,Sell,77.02,37.05,2853.59,30,Medium,RSA,1,Slice_C,Failed
TXN3492,2025-02-14 10:33:48,U1606,Dealer,Sell,88.27,38.74,3419.58,19,High,TDKE,1,Slice_C,Pending
TXN1251,2025-02-14 10:49:19,U3361,Supplier,Buy,16.73,37.82,632.73,13,Medium,RSA,1,Slice_C,Success
TXN6383,2025-02-14 10:58:11,U9742,Supplier,Sell,66.41,38.87,2581.36,20,Low,AES,0,Slice_C,Success
TXN4846,2025-02-14 10:43:05,U5708,Dealer,Buy,49.06,30.98,1519.88,25,Low,AES,0,Slice_B,Success
TXN5906,2025-02-14 10:01:58,U1753,Supplier,Buy,36.4,33.75,1228.5,9,High,TDKE,1,Slice_C,Pending
TXN3950,2025-02-14 10:11:36,U3868,Dealer,Sell,65.77,32.41,2131.61,23,High,TDKE,1,Slice_A,Pending
TXN5161,2025-02-14 10:31:22,U5183,Authority,N/A,0.0,0.0,0.0,5,Medium,RSA,1,Slice_C,Failed
TXN3588,2025-02-14 10:05:02,U8237,Supplier,Sell,67.5,34.24,2311.2,13,Medium,RSA,1,Slice_A,Pending
TXN8916,2025-02-14 10:07:16,U4886,Supplier,Sell,61.73,39.93,2464.88,14,High,TDKE,1,Slice_C,Pending
TXN5497,2025-02-14 10:00:33,U1803,Authority,N/A,0.0,0.0,0.0,28,Medium,RSA,1,Slice_A,Failed
TXN6772,2025-02-14 10:14:57,U4115,Authority,N/A,0.0,0.0,0.0,13,Low,AES,0,Slice_C,Success
TXN1645,2025-02-14 10:21:05,U8222,Dealer,Sell,75.91,30.9,2345.62,14,Medium,RSA,1,Slice_A,Success
TXN3165,2025-02-14 10:53:41,U9837,Supplier,Sell,84.74,32.57,2759.98,20,Medium,RSA,1,Slice_A,Pending
TXN2233,2025-02-14 10:09:36,U4696,Authority,N/A,0.0,0.0,0.0,28,Low,RSA,0,Slice_C,Pending
TXN2479,2025-02-14 10:53:58,U7464,Dealer,Sell,58.29,34.55,2013.92,26,Low,RSA,0,Slice_C,Pending
TXN7086,2025-02-14 10:07:23,U4830,Supplier,Buy,65.76,39.43,2592.92,15,Low,AES,0,Slice_C,Success
TXN8606,2025-02-14 10:47:51,U5951,Authority,N/A,0.0,0.0,0.0,18,High,TDKE,1,Slice_A,Success
TXN1609,2025-02-14 10:20:46,U9071,Dealer,Buy,31.13,35.38,1101.38,17,Medium,RSA,1,Slice_C,Failed
TXN9850,2025-02-14 10:28:36,U3531,Supplier,Buy,85.03,36.16,3074.68,13,High,TDKE,1,Slice_C,Pending
TXN4559,2025-02-14 10:30:16,U8285,Dealer,Sell,18.94,36.86,698.13,22,Low,RSA,0,Slice_A,Pending
TXN5520,2025-02-14 10:12:57,U3001,Supplier,Buy,69.65,36.42,2536.65,24,High,TDKE,1,Slice_A,Pending
TXN4990,2025-02-14 10:08:35,U4362,Dealer,Buy,62.77,38.13,2393.42,12,Medium,AES,1,Slice_C,Success
TXN5542,2025-02-14 10:58:36,U3370,Dealer,Sell,81.87,31.1,2546.16,5,High,TDKE,1,Slice_A,Pending
TXN4898,2025-02-14 10:40:11,U6304,Dealer,Buy,33.88,31.27,1059.43,18,Low,AES,0,Slice_C,Success
TXN8802,2025-02-14 10:30:36,U6931,Authority,N/A,0.0,0.0,0.0,23,High,TDKE,1,Slice_B,Failed
TXN4629,2025-02-14 10:41:59,U1710,Authority,N/A,0.0,0.0,0.0,30,Low,RSA,0,Slice_B,Failed
TXN1510,2025-02-14 10:04:09,U8847,Supplier,Sell,71.75,34.9,2504.07,19,High,TDKE,1,Slice_A,Pending
TXN3430,2025-02-14 10:04:29,U3067,Supplier,Sell,44.28,35.97,1592.75,14,Medium,RSA,1,Slice_A,Failed
TXN2874,2025-02-14 10:58:13,U4522,Supplier,Sell,89.93,34.14,3070.21,19,Medium,RSA,1,Slice_C,Success
TXN6120,2025-02-14 10:29:08,U6120,Authority,N/A,0.0,0.0,0.0,13,Medium,AES,1,Slice_C,Pending
TXN2099,2025-02-14 10:06:13,U2398,Dealer,Sell,18.69,37.39,698.82,30,High,TDKE,1,Slice_C,Success
TXN6400,2025-02-14 10:45:44,U3002,Supplier,Sell,88.62,39.41,3492.51,18,Low,AES,0,Slice_B,Failed
TXN6119,2025-02-14 10:24:00,U2697,Authority,N/A,0.0,0.0,0.0,21,High,TDKE,1,Slice_A,Failed
TXN8900,2025-02-14 10:15:18,U2773,Supplier,Sell,20.34,32.79,666.95,12,Medium,AES,1,Slice_C,Failed
TXN5381,2025-02-14 10:01:58,U3955,Supplier,Sell,92.94,33.51,3114.42,10,High,TDKE,1,Slice_C,Failed
TXN7566,2025-02-14 10:04:45,U3324,Authority,N/A,0.0,0.0,0.0,25,High,TDKE,1,Slice_A,Failed
TXN9691,2025-02-14 10:14:41,U7163,Supplier,Sell,40.68,33.7,1370.92,28,Medium,AES,1,Slice_A,Success
TXN3579,2025-02-14 10:51:30,U1815,Authority,N/A,0.0,0.0,0.0,7,Medium,RSA,1,Slice_C,Pending
TXN8957,2025-02-14 10:41:26,U8242,Supplier,Sell,29.4,35.12,1032.53,16,Medium,AES,1,Slice_B,Failed
TXN8972,2025-02-14 10:35:58,U6053,Dealer,Buy,45.57,35.99,1640.06,5,High,TDKE,1,Slice_B,Success
TXN3248,2025-02-14 10:52:10,U5186,Supplier,Sell,20.8,34.97,727.38,18,High,TDKE,1,Slice_A,Pending
TXN9725,2025-02-14 10:48:02,U4770,Authority,N/A,0.0,0.0,0.0,22,Low,RSA,0,Slice_A,Pending
TXN1693,2025-02-14 10:29:46,U1307,Supplier,Buy,87.59,35.76,3132.22,23,Medium,RSA,1,Slice_B,Success
TXN7636,2025-02-14 10:01:25,U6321,Dealer,Sell,84.88,39.2,3327.3,7,Medium,AES,1,Slice_A,Pending
TXN7560,2025-02-14 10:35:46,U2288,Supplier,Sell,77.12,32.22,2484.81,29,High,TDKE,1,Slice_A,Failed
TXN2868,2025-02-14 10:36:13,U9355,Dealer,Sell,41.6,39.58,1646.53,25,High,TDKE,1,Slice_A,Success
TXN3399,2025-02-14 10:17:28,U4232,Dealer,Buy,78.42,36.56,2867.04,10,Low,RSA,0,Slice_B,Failed
TXN8354,2025-02-14 10:46:29,U6295,Authority,N/A,0.0,0.0,0.0,15,High,TDKE,1,Slice_B,Success
TXN8682,2025-02-14 10:30:11,U5961,Supplier,Buy,41.67,30.74,1280.94,19,Medium,AES,1,Slice_A,Pending
TXN5703,2025-02-14 10:05:14,U2479,Authority,N/A,0.0,0.0,0.0,24,Low,RSA,0,Slice_B,Failed
TXN1672,2025-02-14 10:30:42,U4084,Supplier,Sell,55.12,39.58,2181.65,19,High,TDKE,1,Slice_B,Failed
TXN2381,2025-02-14 10:34:26,U3827,Dealer,Buy,73.69,39.91,2940.97,21,Low,AES,0,Slice_B,Pending
TXN5634,2025-02-14 10:26:26,U7697,Supplier,Buy,81.03,36.47,2955.16,7,Medium,AES,1,Slice_C,Failed
TXN7333,2025-02-14 10:19:23,U5128,Authority,N/A,0.0,0.0,0.0,26,Low,AES,0,Slice_B,Success
TXN3317,2025-02-14 10:23:52,U6082,Authority,N/A,0.0,0.0,0.0,27,Low,RSA,0,Slice_A,Failed
TXN2388,2025-02-14 10:21:08,U7171,Authority,N/A,0.0,0.0,0.0,30,Medium,AES,1,Slice_C,Failed
TXN9624,2025-02-14 10:06:22,U7937,Authority,N/A,0.0,0.0,0.0,16,High,TDKE,1,Slice_B,Pending
TXN3953,2025-02-14 10:14:37,U6598,Supplier,Buy,30.39,31.38,953.64,7,Medium,AES,1,Slice_C,Failed
TXN9626,2025-02-14 10:02:34,U6517,Authority,N/A,0.0,0.0,0.0,9,Low,RSA,0,Slice_A,Success
TXN3962,2025-02-14 10:56:45,U3712,Authority,N/A,0.0,0.0,0.0,19,High,TDKE,1,Slice_B,Pending
TXN4891,2025-02-14 10:30:19,U5668,Authority,N/A,0.0,0.0,0.0,30,Medium,AES,1,Slice_C,Success
TXN6070,2025-02-14 10:55:12,U8684,Dealer,Sell,71.05,35.7,2536.49,19,Medium,RSA,1,Slice_B,Failed
TXN9641,2025-02-14 10:28:34,U3655,Dealer,Buy,88.57,30.52,2703.16,20,Medium,AES,1,Slice_C,Failed
TXN3042,2025-02-14 10:19:27,U2374,Dealer,Sell,50.44,35.13,1771.96,18,High,TDKE,1,Slice_A,Pending
TXN6727,2025-02-14 10:01:49,U7797,Dealer,Sell,55.18,32.36,1785.62,7,Medium,AES,1,Slice_A,Pending
TXN2623,2025-02-14 10:57:17,U6493,Dealer,Buy,13.45,39.17,526.84,20,Low,AES,0,Slice_C,Pending
TXN8349,2025-02-14 10:42:00,U1086,Dealer,Buy,33.03,38.35,1266.7,22,Low,RSA,0,Slice_A,Pending
TXN4893,2025-02-14 10:20:33,U2996,Dealer,Buy,47.78,37.94,1812.77,19,High,TDKE,1,Slice_A,Pending
TXN9782,2025-02-14 10:01:07,U9443,Authority,N/A,0.0,0.0,0.0,12,Low,AES,0,Slice_B,Pending
TXN1025,2025-02-14 10:41:58,U6780,Dealer,Sell,26.86,36.68,985.22,21,Medium,AES,1,Slice_C,Failed
TXN9312,2025-02-14 10:53:41,U9316,Authority,N/A,0.0,0.0,0.0,5,Medium,RSA,1,Slice_A,Failed
TXN7338,2025-02-14 10:25:29,U5155,Authority,N/A,0.0,0.0,0.0,5,Medium,AES,1,Slice_B,Success
TXN2698,2025-02-14 10:52:40,U6447,Dealer,Buy,41.71,33.39,1392.7,25,High,TDKE,1,Slice_C,Pending
TXN8840,2025-02-14 10:43:07,U3986,Dealer,Buy,74.44,39.44,2935.91,6,Medium,AES,1,Slice_A,Success
TXN1686,2025-02-14 10:21:32,U6080,Authority,N/A,0.0,0.0,0.0,17,Low,RSA,0,Slice_B,Success
TXN4131,2025-02-14 10:19:31,U6848,Dealer,Sell,34.59,37.99,1314.07,18,Medium,RSA,1,Slice_B,Pending
TXN4060,2025-02-14 10:33:52,U9151,Supplier,Sell,82.1,37.27,3059.87,7,Medium,AES,1,Slice_C,Pending
TXN6262,2025-02-14 10:07:00,U2311,Supplier,Sell,37.58,36.03,1354.01,18,High,TDKE,1,Slice_C,Pending
TXN6759,2025-02-14 10:30:31,U1693,Authority,N/A,0.0,0.0,0.0,16,Low,RSA,0,Slice_B,Failed
TXN1939,2025-02-14 10:05:07,U7655,Supplier,Buy,95.75,31.43,3009.42,24,Low,RSA,0,Slice_A,Success
TXN2101,2025-02-14 10:16:06,U7001,Supplier,Sell,95.45,30.32,2894.04,9,Low,RSA,0,Slice_B,Pending
TXN8273,2025-02-14 10:52:05,U2259,Authority,N/A,0.0,0.0,0.0,9,Low,RSA,0,Slice_B,Pending
TXN5566,2025-02-14 10:17:02,U2858,Dealer,Buy,54.91,33.87,1859.8,22,High,TDKE,1,Slice_B,Pending
TXN8311,2025-02-14 10:14:38,U5678,Authority,N/A,0.0,0.0,0.0,20,High,TDKE,1,Slice_A,Success
TXN2213,2025-02-14 10:30:51,U3828,Authority,N/A,0.0,0.0,0.0,19,High,TDKE,1,Slice_C,Pending
TXN6692,2025-02-14 10:48:26,U2063,Authority,N/A,0.0,0.0,0.0,22,Medium,RSA,1,Slice_A,Failed
TXN3852,2025-02-14 10:54:10,U6922,Authority,N/A,0.0,0.0,0.0,12,High,TDKE,1,Slice_A,Success
TXN4878,2025-02-14 10:53:57,U9094,Dealer,Sell,59.86,33.69,2016.68,30,Low,AES,0,Slice_C,Success
TXN2077,2025-02-14 10:21:06,U7523,Authority,N/A,0.0,0.0,0.0,28,Medium,RSA,1,Slice_B,Failed
TXN2208,2025-02-14 10:08:33,U6194,Authority,N/A,0.0,0.0,0.0,7,Medium,RSA,1,Slice_C,Failed
TXN6644,2025-02-14 10:08:45,U3981,Dealer,Sell,55.26,38.68,2137.46,8,Low,AES,0,Slice_B,Success
TXN3653,2025-02-14 10:22:01,U4694,Supplier,Sell,86.13,32.51,2800.09,25,Low,RSA,0,Slice_A,Failed
TXN5961,2025-02-14 10:41:56,U9740,Dealer,Buy,63.26,35.81,2265.34,10,Low,RSA,0,Slice_C,Success
TXN1464,2025-02-14 10:05:32,U1744,Authority,N/A,0.0,0.0,0.0,29,Low,RSA,0,Slice_C,Success
TXN7825,2025-02-14 10:42:11,U1496,Supplier,Sell,67.77,33.02,2237.77,12,Low,RSA,0,Slice_B,Pending
TXN2195,2025-02-14 10:47:00,U1981,Dealer,Sell,47.41,34.64,1642.28,15,Low,AES,0,Slice_B,Failed
TXN6231,2025-02-14 10:50:07,U6658,Supplier,Buy,78.46,35.15,2757.87,8,Medium,AES,1,Slice_B,Success
TXN5382,2025-02-14 10:30:41,U5061,Dealer,Buy,14.55,39.45,574.0,24,Medium,AES,1,Slice_A,Pending
TXN6123,2025-02-14 10:12:57,U3610,Supplier,Sell,54.89,33.09,1816.31,5,High,TDKE,1,Slice_B,Failed
TXN8491,2025-02-14 10:16:26,U4524,Authority,N/A,0.0,0.0,0.0,16,High,TDKE,1,Slice_A,Pending
TXN9108,2025-02-14 10:40:47,U8710,Supplier,Buy,86.25,34.31,2959.24,13,Low,RSA,0,Slice_B,Pending
TXN1741,2025-02-14 10:27:20,U1838,Authority,N/A,0.0,0.0,0.0,22,High,TDKE,1,Slice_B,Failed
TXN5728,2025-02-14 10:05:01,U7329,Authority,N/A,0.0,0.0,0.0,19,Low,RSA,0,Slice_C,Failed
TXN2946,2025-02-14 10:08:47,U2584,Supplier,Sell,81.54,33.39,2722.62,16,High,TDKE,1,Slice_A,Failed
TXN9341,2025-02-14 10:27:24,U9193,Dealer,Buy,13.5,37.14,501.39,30,Medium,RSA,1,Slice_A,Failed
TXN9446,2025-02-14 10:09:32,U6373,Authority,N/A,0.0,0.0,0.0,15,High,TDKE,1,Slice_B,Failed
TXN5902,2025-02-14 10:40:31,U6511,Authority,N/A,0.0,0.0,0.0,21,Low,RSA,0,Slice_C,Failed
TXN5911,2025-02-14 10:32:25,U1272,Supplier,Sell,70.64,39.8,2811.47,23,Medium,AES,1,Slice_C,Pending
TXN5350,2025-02-14 10:44:45,U4728,Authority,N/A,0.0,0.0,0.0,6,Low,RSA,0,Slice_A,Failed
TXN7229,2025-02-14 10:10:05,U4968,Dealer,Buy,27.17,34.41,934.92,18,High,TDKE,1,Slice_B,Failed
TXN4340,2025-02-14 10:28:00,U9221,Authority,N/A,0.0,0.0,0.0,20,Low,AES,0,Slice_C,Success
TXN9498,2025-02-14 10:14:09,U6325,Authority,N/A,0.0,0.0,0.0,20,Low,RSA,0,Slice_B,Success
TXN8531,2025-02-14 10:36:23,U6608,Authority,N/A,0.0,0.0,0.0,16,Low,RSA,0,Slice_C,Pending
TXN4150,2025-02-14 10:16:49,U5571,Authority,N/A,0.0,0.0,0.0,14,High,TDKE,1,Slice_B,Pending
TXN4396,2025-02-14 10:47:07,U9011,Supplier,Sell,41.39,39.34,1628.28,30,Low,RSA,0,Slice_B,Success
TXN9899,2025-02-14 10:25:55,U7464,Supplier,Buy,36.14,32.88,1188.28,27,High,TDKE,1,Slice_B,Pending
TXN5201,2025-02-14 10:51:01,U8849,Dealer,Buy,84.52,32.71,2764.65,22,Low,RSA,0,Slice_A,Success
